Gene name (systematic),L (in codon),alpha_phys,rho_phys (E)
YAR030C,114,0.19310,0.02984
YAR031W,299,0.04048,0.00699
YAR033W,235,0.21255,0.03185
YAR035W,688,0.02977,0.00583
YAR047C,107,0.26947,0.03833
YAR050W,1538,0.02200,0.00309
YAR053W,99,0.32063,0.04130
YAR060C,112,0.16989,0.02682
YAR064W,100,0.17273,0.02972
YAR068W,162,0.13079,0.02568
YAR070C,100,0.25921,0.03913
YAR071W,468,0.17830,0.02058
YAR073W,404,0.16562,0.02022
YAR075W,158,0.88371,0.05171
YBL001C,105,0.29071,0.02777
YBL002W,132,0.26205,0.02359
YBL003C,133,0.19464,0.01755
YBL004W,2494,0.02905,0.00516
YBL005W,977,0.06604,0.01083
YBL006C,181,0.14743,0.02843
YBL007C,1245,0.05671,0.00797
YBL008W,841,0.04032,0.00674
YBL009W,677,0.04547,0.00786
YBL010C,281,0.10416,0.01667
YBL011W,760,0.06125,0.00906
YBL012C,134,0.26277,0.03915
YBL013W,402,0.07095,0.01304
YBL014C,895,0.01555,0.00278
YBL015W,527,0.14932,0.02059
YBL016W,354,0.08461,0.01570
YBL017C,1580,0.00791,0.00128
YBL018C,134,0.25832,0.03290
YBL019W,521,0.06516,0.01061
YBL020W,575,0.11766,0.01835
YBL021C,145,0.15394,0.02759
YBL022C,1134,0.07387,0.01101
YBL023C,869,0.07836,0.01174
YBL024W,685,0.11418,0.01511
YBL025W,146,0.14893,0.02500
YBL026W,96,0.21053,0.02605
YBL027W,190,0.14561,0.01246
YBL028C,107,0.26976,0.02475
YBL030C,319,0.18414,0.01871
YBL031W,339,0.06730,0.01115
YBL032W,382,0.09070,0.01336
YBL033C,346,0.09466,0.01717
YBL034C,1514,0.05304,0.00850
YBL035C,706,0.06027,0.01013
YBL036C,258,0.14954,0.02010
YBL037W,1026,0.07704,0.01184
YBL038W,233,0.10717,0.01550
YBL039C,580,0.11970,0.01532
YBL040C,220,0.11516,0.01711
YBL041W,242,0.13511,0.01986
YBL042C,640,0.12924,0.01887
YBL043W,258,0.17286,0.02498
YBL044W,123,0.19769,0.03083
YBL045C,458,0.17116,0.01914
YBL046W,442,0.08139,0.01261
YBL047C,1382,0.02614,0.00401
YBL048W,104,0.75806,0.05218
YBL049W,139,0.17272,0.02720
YBL050W,293,0.10017,0.01522
YBL051C,669,0.05427,0.00818
YBL052C,832,0.02115,0.00354
YBL053W,125,0.12674,0.02629
YBL054W,526,0.04599,0.00781
YBL055C,419,0.12138,0.01932
YBL056W,469,0.09437,0.01350
YBL057C,215,0.11503,0.01713
YBL058W,424,0.13780,0.01924
YBL059W,194,0.12524,0.02132
YBL060W,688,0.05120,0.00844
YBL061C,697,0.04872,0.00804
YBL062W,127,0.22650,0.03512
YBL063W,1112,0.04847,0.00812
YBL064C,262,0.18859,0.02305
YBL065W,115,0.14874,0.02726
YBL066C,1149,0.01285,0.00217
YBL067C,748,0.03384,0.00533
YBL068W,328,0.10205,0.01448
YBL069W,430,0.09974,0.01471
YBL070C,107,0.47443,0.06029
YBL071C,103,0.12973,0.02023
YBL072C,201,0.12147,0.01036
YBL073W,104,0.30169,0.04736
YBL074C,356,0.08192,0.01353
YBL075C,650,0.05188,0.00832
YBL076C,1073,0.10422,0.01175
YBL077W,144,1.13727,0.09051
YBL078C,118,0.25384,0.03509
YBL079W,1503,0.01284,0.00213
YBL080C,542,0.06982,0.01094
YBL081W,369,0.12692,0.02030
YBL082C,459,0.06806,0.01265
YBL083C,142,0.17745,0.03022
YBL085W,981,0.04663,0.00764
YBL086C,467,0.05198,0.00869
YBL087C,138,0.17563,0.01598
YBL088C,2788,0.01529,0.00279
YBL089W,460,0.06369,0.01066
YBL090W,178,0.20444,0.02291
YBL091C,422,0.10678,0.01474
YBL093C,221,0.07518,0.01401
YBL094C,111,0.39086,0.04439
YBL095W,271,0.07251,0.01240
YBL096C,103,0.43267,0.04770
YBL097W,755,0.05674,0.00864
YBL098W,461,0.08577,0.01233
YBL099W,546,0.12571,0.01395
YBL100C,105,0.92125,0.06980
YBL101C,1118,0.04184,0.00704
YBL102W,216,0.04456,0.00935
YBL103C,487,0.06809,0.01047
YBL104C,1039,0.06522,0.01018
YBL105C,1152,0.05041,0.00780
YBL106C,1011,0.02290,0.00393
YBL107C,197,0.11286,0.01707
YBL108W,102,0.38665,0.04697
YBL111C,668,0.01482,0.00302
YBL112C,106,0.28377,0.03990
YBL113C,793,0.01424,0.00254
YBR001C,781,0.04472,0.00737
YBR002C,287,0.08448,0.01335
YBR003W,474,0.05632,0.00929
YBR004C,434,0.13178,0.01687
YBR005W,214,0.11226,0.02039
YBR006W,498,0.07936,0.01166
YBR007C,737,0.03379,0.00608
YBR008C,549,0.02545,0.00406
YBR009C,104,0.43180,0.02926
YBR010W,137,0.25607,0.02000
YBR011C,288,0.23403,0.02037
YBR013C,130,0.20317,0.03023
YBR014C,204,0.19124,0.02769
YBR015C,598,0.14430,0.01799
YBR016W,129,0.09932,0.02190
YBR017C,919,0.07955,0.01213
YBR018C,367,0.10827,0.01649
YBR019C,700,0.02438,0.00376
YBR020W,529,0.03470,0.00520
YBR021W,634,0.02775,0.00412
YBR022W,178,0.22730,0.03166
YBR023C,1166,0.05254,0.00854
YBR024W,302,0.08411,0.01341
YBR025C,395,0.18530,0.01698
YBR026C,381,0.12313,0.01593
YBR027C,111,0.23178,0.03653
YBR028C,526,0.06335,0.00951
YBR029C,458,0.11720,0.01755
YBR030W,553,0.05695,0.00926
YBR031W,363,0.25125,0.01946
YBR032W,101,0.27264,0.04296
YBR033W,920,0.03191,0.00579
YBR034C,349,0.18046,0.02148
YBR035C,229,0.14405,0.02120
YBR036C,411,0.12580,0.01875
YBR037C,296,0.09103,0.01630
YBR038W,964,0.07536,0.01130
YBR039W,312,0.14591,0.01521
YBR040W,299,0.08056,0.01264
YBR041W,670,0.12390,0.01619
YBR042C,398,0.06087,0.01071
YBR043C,690,0.01856,0.00315
YBR044C,574,0.04430,0.00709
YBR045C,574,0.05812,0.00965
YBR046C,335,0.11138,0.01663
YBR047W,176,0.21964,0.02432
YBR048W,157,0.15857,0.01385
YBR049C,811,0.07500,0.01064
YBR050C,339,0.07125,0.01213
YBR051W,117,0.24119,0.03483
YBR052C,211,0.12582,0.01836
YBR053C,359,0.11220,0.01610
YBR054W,345,0.16883,0.01822
YBR055C,900,0.02813,0.00470
YBR056W-A,67,0.09434,0.01382
YBR057C,367,0.06974,0.01157
YBR058C,782,0.06463,0.01036
YBR059C,1109,0.04157,0.00689
YBR060C,621,0.03985,0.00696
YBR061C,311,0.10212,0.01667
YBR062C,181,0.34322,0.04172
YBR063C,405,0.06411,0.01002
YBR064W,143,0.17841,0.03349
YBR065C,365,0.05865,0.01043
YBR066C,221,0.10988,0.01879
YBR068C,610,0.08959,0.01360
YBR069C,620,0.08267,0.01379
YBR070C,238,0.17240,0.02798
YBR071W,212,0.11739,0.01974
YBR072W,215,0.11672,0.01309
YBR073W,925,0.05103,0.00828
YBR074W,977,0.18318,0.02903
YBR076W,340,0.06697,0.01043
YBR077C,163,0.08842,0.01344
YBR078W,469,0.14924,0.01522
YBR079C,965,0.12130,0.01328
YBR080C,759,0.09190,0.01277
YBR081C,1333,0.02219,0.00359
YBR082C,149,0.21231,0.02412
YBR083W,487,0.06363,0.01125
YBR084W,976,0.07081,0.01022
YBR085W,308,0.12403,0.01667
YBR086C,947,0.05306,0.00787
YBR087W,355,0.07502,0.01243
YBR088C,259,0.16289,0.02152
YBR089W,200,0.19984,0.02766
YBR090C,123,0.16649,0.02599
YBR092C,468,0.20917,0.02099
YBR093C,468,0.21313,0.02113
YBR094W,754,0.14079,0.01829
YBR095C,431,0.07425,0.01147
YBR096W,231,0.10592,0.01576
YBR097W,1455,0.02202,0.00379
YBR098W,692,0.06444,0.01082
YBR099C,128,0.22960,0.04289
YBR101C,291,0.14206,0.02014
YBR102C,754,0.03913,0.00718
YBR103W,536,0.06366,0.01109
YBR104W,330,0.08118,0.01258
YBR105C,363,0.06119,0.01081
YBR106W,189,0.20414,0.01873
YBR107C,246,0.06517,0.01075
YBR108W,948,0.03243,0.00625
YBR109C,148,0.21410,0.02555
YBR110W,450,0.12253,0.01740
YBR111C,232,0.13163,0.01627
YBR112C,967,0.05581,0.00934
YBR113W,161,0.54310,0.05900
YBR114W,791,0.03342,0.00560
YBR115C,1393,0.08026,0.01085
YBR116C,176,0.13350,0.02297
YBR117C,682,0.03241,0.00521
YBR118W,459,0.17989,0.01407
YBR119W,299,0.09722,0.01864
YBR120C,163,0.26966,0.02941
YBR121C,668,0.14944,0.01514
YBR122C,178,0.12363,0.01664
YBR123C,650,0.05913,0.00846
YBR124W,120,0.30933,0.04208
YBR125C,394,0.10677,0.01556
YBR126C,496,0.13439,0.01948
YBR127C,518,0.15689,0.01785
YBR128C,345,0.07491,0.01433
YBR129C,329,0.04197,0.00701
YBR130C,426,0.07630,0.01056
YBR131W,705,0.03772,0.00627
YBR132C,597,0.05329,0.00891
YBR133C,828,0.04108,0.00711
YBR134W,134,0.17641,0.03526
YBR135W,151,0.24918,0.04443
YBR136W,2369,0.02140,0.00364
YBR137W,180,0.15675,0.02149
YBR138C,525,0.07839,0.01165
YBR139W,509,0.16849,0.02248
YBR140C,3093,0.01640,0.00291
YBR141C,338,0.08625,0.01424
YBR142W,774,0.06664,0.00959
YBR143C,438,0.12241,0.01455
YBR144C,105,0.46846,0.04821
YBR145W,352,0.20159,0.02131
YBR146W,279,0.05618,0.00909
YBR147W,297,0.06457,0.01196
YBR148W,610,0.14933,0.01961
YBR149W,345,0.13273,0.01753
YBR150C,1095,0.02375,0.00405
YBR151W,317,0.04835,0.00806
YBR152W,292,0.11091,0.01597
YBR153W,245,0.09019,0.01621
YBR154C,216,0.15639,0.02011
YBR155W,386,0.09216,0.01338
YBR156C,699,0.10546,0.01598
YBR157C,256,0.22047,0.03180
YBR158W,550,0.05093,0.00894
YBR159W,348,0.13675,0.01631
YBR160W,299,0.12946,0.01811
YBR161W,377,0.07816,0.01236
YBR162C,456,0.15408,0.01575
YBR163W,586,0.02253,0.00382
YBR164C,184,0.12375,0.01754
YBR165W,278,0.09071,0.01587
YBR166C,453,0.10110,0.01515
YBR167C,141,0.20799,0.02572
YBR168W,414,0.04266,0.00754
YBR169C,694,0.05171,0.00754
YBR170C,581,0.07709,0.01289
YBR171W,207,0.13374,0.01972
YBR172C,741,0.03312,0.00534
YBR173C,149,0.17857,0.02776
YBR174C,105,0.22518,0.03880
YBR175W,316,0.08192,0.01412
YBR176W,313,0.11083,0.01726
YBR177C,452,0.12964,0.01990
YBR178W,125,0.49930,0.06989
YBR179C,856,0.08673,0.01397
YBR180W,573,0.05420,0.00897
YBR181C,237,0.15182,0.01226
YBR182C,453,0.07368,0.01238
YBR183W,317,0.09457,0.01611
YBR184W,524,0.03949,0.00691
YBR185C,279,0.09390,0.01458
YBR186W,565,0.02905,0.00526
YBR187W,281,0.06384,0.00952
YBR188C,141,0.21076,0.03231
YBR189W,196,0.28962,0.02096
YBR190W,104,0.19982,0.02977
YBR191W-A,25,0.08489,0.01285
YBR192W,378,0.06185,0.00980
YBR193C,224,0.11366,0.01748
YBR194W,124,0.17730,0.02910
YBR195C,423,0.03942,0.00672
YBR196C,555,0.22449,0.01847
YBR197C,218,0.05106,0.00930
YBR198C,799,0.09208,0.01280
YBR199W,465,0.15529,0.01935
YBR200W,552,0.08455,0.01262
YBR201W,212,0.11227,0.01663
YBR202W,846,0.10142,0.01326
YBR203W,925,0.04409,0.00671
YBR204C,376,0.05786,0.01052
YBR205W,405,0.12098,0.01763
YBR206W,108,2.05485,0.06426
YBR207W,466,0.09282,0.01550
YBR208C,1836,0.04419,0.00658
YBR210W,143,0.09475,0.01641
YBR211C,325,0.07459,0.01322
YBR212W,673,0.06644,0.01182
YBR213W,275,0.07834,0.01304
YBR214W,528,0.03473,0.00600
YBR215W,626,0.04592,0.00684
YBR216C,675,0.03811,0.00674
YBR217W,187,0.07313,0.01306
YBR218C,1181,0.07881,0.00965
YBR219C,128,0.22424,0.03374
YBR220C,561,0.05151,0.00852
YBR221C,367,0.12502,0.01462
YBR222C,544,0.08521,0.01300
YBR223C,545,0.05665,0.01038
YBR224W,172,0.20201,0.03098
YBR225W,901,0.03731,0.00611
YBR227C,521,0.06937,0.01065
YBR228W,305,0.09118,0.01322
YBR229C,955,0.08573,0.01175
YBR230C,135,0.26475,0.03881
YBR231C,304,0.09450,0.01690
YBR232C,120,0.29857,0.04402
YBR233W,414,0.08364,0.01340
YBR234C,385,0.13420,0.01849
YBR235W,1121,0.05821,0.00979
YBR236C,437,0.07723,0.01150
YBR237W,850,0.04402,0.00766
YBR238C,732,0.07181,0.00947
YBR239C,530,0.02708,0.00477
YBR240C,451,0.03878,0.00727
YBR241C,489,0.06884,0.01198
YBR242W,239,0.10131,0.01589
YBR243C,449,0.11883,0.01492
YBR244W,163,0.28201,0.03296
YBR245C,1130,0.07416,0.01109
YBR246W,388,0.04487,0.00815
YBR247C,484,0.11166,0.01642
YBR248C,553,0.11185,0.01629
YBR249C,371,0.17872,0.01801
YBR250W,524,0.09506,0.01435
YBR251W,308,0.13008,0.01825
YBR252W,148,0.15202,0.01931
YBR253W,122,0.12561,0.02108
YBR254C,176,0.10352,0.01632
YBR255W,695,0.03368,0.00607
YBR256C,239,0.13934,0.02056
YBR257W,280,0.14929,0.02231
YBR258C,143,0.14773,0.02228
YBR259W,689,0.03287,0.00561
YBR260C,667,0.11353,0.01722
YBR261C,233,0.11013,0.01784
YBR262C,107,0.55467,0.06355
YBR263W,491,0.10677,0.01358
YBR264C,200,0.10659,0.01831
YBR265W,321,0.08884,0.01462
YBR266C,151,0.23999,0.03737
YBR267W,394,0.09695,0.01457
YBR268W,106,0.55063,0.05921
YBR269C,139,0.10423,0.02006
YBR270C,546,0.02010,0.00376
YBR271W,420,0.07154,0.01280
YBR272C,481,0.08460,0.01345
YBR273C,437,0.07562,0.01290
YBR274W,528,0.03961,0.00622
YBR275C,1917,0.03297,0.00566
YBR276C,808,0.01346,0.00250
YBR277C,134,0.17952,0.02815
YBR278W,202,0.09094,0.01571
YBR279W,446,0.09464,0.01341
YBR280C,638,0.04359,0.00722
YBR281C,879,0.07386,0.01048
YBR282W,147,0.11748,0.01748
YBR283C,491,0.11683,0.01457
YBR284W,798,0.04919,0.00846
YBR285W,145,0.18538,0.02322
YBR286W,538,0.13790,0.01661
YBR287W,428,0.09044,0.01409
YBR288C,484,0.16691,0.02489
YBR289W,906,0.04704,0.00868
YBR290W,322,0.09327,0.01400
YBR291C,300,0.10762,0.01661
YBR292C,124,0.30754,0.04328
YBR293W,475,0.02102,0.00425
YBR294W,860,0.01427,0.00235
YBR295W,1217,0.01310,0.00231
YBR296C,575,0.16678,0.02056
YBR297W,469,0.04485,0.00825
YBR298C,615,0.09290,0.01433
YBR299W,585,0.14009,0.02001
YBR300C,166,0.18079,0.03024
YBR301W,121,0.31742,0.02450
YCL002C,252,0.13081,0.01961
YCL004W,522,0.02418,0.00424
YCL005W,257,0.03987,0.00785
YCL007C,131,0.09849,0.01646
YCL008C,386,0.07956,0.01570
YCL009C,310,0.06222,0.00884
YCL010C,260,0.07581,0.01339
YCL011C,428,0.08968,0.01226
YCL014W,1637,0.04452,0.00683
YCL016C,381,0.09328,0.01532
YCL017C,498,0.10384,0.01405
YCL018W,365,0.06005,0.00703
YCL022C,172,0.16864,0.03057
YCL023C,116,0.55391,0.05011
YCL024W,1038,0.02621,0.00479
YCL025C,634,0.13299,0.01577
YCL027W,513,0.06509,0.01121
YCL028W,406,0.10541,0.01451
YCL029C,441,0.06036,0.01121
YCL030C,800,0.10178,0.01431
YCL031C,298,0.06008,0.00926
YCL032W,347,0.08846,0.01460
YCL033C,169,0.10574,0.01708
YCL034W,355,0.08261,0.01470
YCL035C,111,0.13730,0.02188
YCL036W,567,0.04531,0.00837
YCL037C,435,0.11814,0.01541
YCL038C,529,0.07567,0.01293
YCL040W,501,0.12062,0.01984
YCL041C,165,0.25132,0.03640
YCL043C,523,0.13811,0.01636
YCL044C,418,0.11580,0.01911
YCL045C,761,0.10476,0.01546
YCL047C,259,0.11269,0.01720
YCL048W,464,0.09027,0.01369
YCL049C,313,0.10770,0.01679
YCL050C,322,0.21225,0.02229
YCL051W,584,0.03348,0.00583
YCL052C,417,0.05597,0.00906
YCL054W,842,0.05468,0.00718
YCL055W,336,0.09225,0.01518
YCL056C,145,0.35373,0.04278
YCL057W,713,0.09088,0.01281
YCL058C,153,0.09773,0.01603
YCL059C,317,0.11653,0.01593
YCL061C,1097,0.02585,0.00437
YCL063W,424,0.07347,0.01217
YCL064C,361,0.12858,0.01697
YCL065W,123,0.30494,0.04371
YCL066W,176,0.13693,0.01990
YCL067C,211,0.18809,0.02357
YCL068C,261,0.07769,0.01418
YCL069W,459,0.04782,0.00909
YCL073C,616,0.04815,0.00884
YCL076W,248,0.29122,0.04393
YCR002C,323,0.14273,0.01706
YCR003W,184,0.19307,0.02619
YCR004C,248,0.12724,0.01715
YCR005C,461,0.11596,0.01615
YCR006C,158,0.17634,0.03044
YCR007C,240,0.20802,0.02753
YCR008W,604,0.03405,0.00589
YCR009C,266,0.16464,0.02242
YCR010C,284,0.10679,0.01360
YCR011C,1050,0.05928,0.00922
YCR012W,417,0.13552,0.01099
YCR013C,216,0.19572,0.02989
YCR014C,583,0.04378,0.00706
YCR015C,318,0.08815,0.01351
YCR016W,291,0.12201,0.01867
YCR019W,364,0.07662,0.01290
YCR020C,216,0.09109,0.01223
YCR021C,333,0.10161,0.01299
YCR022C,115,0.24089,0.03733
YCR023C,612,0.02866,0.00479
YCR024C,493,0.06314,0.00976
YCR025C,137,0.28195,0.03681
YCR026C,743,0.10325,0.01429
YCR027C,210,0.05592,0.01103
YCR028C,513,0.06894,0.01170
YCR030C,871,0.09722,0.01484
YCR031C,138,0.19268,0.01534
YCR032W,2168,0.01845,0.00332
YCR033W,1227,0.01852,0.00321
YCR034W,348,0.15693,0.02029
YCR035C,395,0.10391,0.01451
YCR036W,334,0.07602,0.01212
YCR037C,924,0.01425,0.00242
YCR038C,643,0.04427,0.00833
YCR039C,211,0.19547,0.02426
YCR040W,176,0.62905,0.06220
YCR041W,111,0.30538,0.04596
YCR042C,1408,0.03452,0.00586
YCR043C,128,0.11373,0.01577
YCR044C,358,0.07865,0.01232
YCR045C,492,0.02235,0.00410
YCR046C,170,0.06376,0.01226
YCR047C,276,0.09148,0.01751
YCR048W,611,0.05819,0.01118
YCR049C,149,0.31843,0.03652
YCR050C,103,0.26870,0.04532
YCR051W,223,0.08699,0.01378
YCR052W,484,0.07058,0.01143
YCR053W,515,0.15276,0.01629
YCR054C,564,0.05360,0.00931
YCR057C,924,0.07069,0.01129
YCR059C,259,0.04476,0.00779
YCR060W,112,0.14716,0.02495
YCR061W,632,0.12098,0.02150
YCR063W,158,0.14479,0.02366
YCR064C,137,0.17291,0.02713
YCR065W,565,0.03676,0.00652
YCR066W,488,0.05517,0.00945
YCR067C,1066,0.02844,0.00486
YCR068W,521,0.04726,0.00848
YCR069W,319,0.08097,0.01232
YCR071C,147,0.15499,0.02384
YCR072C,516,0.11342,0.01682
YCR073C,1332,0.01980,0.00334
YCR075C,261,0.06119,0.01049
YCR076C,251,0.11950,0.01978
YCR077C,797,0.07494,0.01149
YCR079W,443,0.02759,0.00515
YCR081W,1428,0.01183,0.00203
YCR082W,129,0.30306,0.03879
YCR083W,128,0.19544,0.02630
YCR084C,714,0.07204,0.01054
YCR085W,118,0.16150,0.03039
YCR086W,191,0.09571,0.01983
YCR087W,172,0.07387,0.02197
YCR088W,593,0.13889,0.01820
YCR089W,1610,0.03846,0.00670
YCR090C,183,0.09360,0.01434
YCR091W,721,0.09561,0.01452
YCR092C,1019,0.02643,0.00459
YCR093W,2109,0.03687,0.00591
YCR094W,392,0.06749,0.01085
YCR095C,363,0.06334,0.01065
YCR096C,120,0.24908,0.03159
YCR098C,519,0.16400,0.01997
YCR099C,156,0.11579,0.01733
YCR100C,317,0.05175,0.00897
YCR101C,183,0.13135,0.02027
YCR102C,369,0.03809,0.00573
YCR104W,125,0.34134,0.02782
YCR105W,362,0.05682,0.00815
YCR106W,833,0.02146,0.00404
YCR107W,364,0.04896,0.00783
YDL001W,431,0.07435,0.01262
YDL002C,204,0.11342,0.02136
YDL003W,567,0.08978,0.01370
YDL004W,161,0.11183,0.01386
YDL005C,432,0.08104,0.01212
YDL006W,282,0.08039,0.01281
YDL007W,438,0.12728,0.01880
YDL008W,166,0.11336,0.01664
YDL009C,108,0.34281,0.04998
YDL010W,232,0.10578,0.01787
YDL011C,108,0.21189,0.03119
YDL012C,108,0.16436,0.03183
YDL013W,620,0.04343,0.00794
YDL014W,328,0.17632,0.01582
YDL015C,311,0.15846,0.01904
YDL016C,101,0.25684,0.05318
YDL017W,508,0.07332,0.01137
YDL018C,226,0.12888,0.01645
YDL019C,1284,0.05366,0.00878
YDL020C,532,0.04429,0.00733
YDL021W,312,0.08768,0.01367
YDL022W,392,0.21603,0.02190
YDL023C,107,1.64990,0.08048
YDL024C,469,0.05214,0.00881
YDL025C,621,0.05078,0.00813
YDL026W,104,0.24838,0.04039
YDL027C,421,0.03401,0.00587
YDL028C,765,0.03610,0.00640
YDL029W,392,0.12689,0.01681
YDL030W,531,0.07018,0.01069
YDL031W,996,0.08343,0.01086
YDL032W,104,0.27647,0.04142
YDL033C,418,0.07397,0.01210
YDL034W,115,0.26911,0.03973
YDL035C,962,0.07117,0.01116
YDL036C,463,0.05983,0.00994
YDL039C,116,0.33623,0.03606
YDL040C,855,0.08992,0.01251
YDL041W,118,0.30419,0.04806
YDL042C,563,0.06860,0.01095
YDL043C,267,0.12597,0.01866
YDL044C,441,0.07939,0.01256
YDL045C,307,0.10161,0.01519
YDL046W,174,0.10686,0.01511
YDL047W,312,0.10458,0.01700
YDL049C,269,0.11054,0.01656
YDL050C,124,0.26829,0.03128
YDL051W,276,0.11820,0.01525
YDL052C,304,0.15305,0.01958
YDL053C,186,0.09605,0.01547
YDL054C,487,0.10828,0.01751
YDL055C,362,0.16262,0.01533
YDL056W,834,0.03734,0.00647
YDL057W,329,0.10326,0.01720
YDL058W,1791,0.01016,0.00165
YDL059C,239,0.05236,0.00856
YDL060W,789,0.09168,0.01252
YDL061C,57,0.45802,0.03541
YDL062W,142,0.26710,0.04372
YDL063C,621,0.06423,0.01135
YDL064W,158,0.09274,0.01277
YDL065C,343,0.10612,0.01599
YDL066W,429,0.17649,0.01991
YDL067C,60,0.43455,0.04759
YDL068W,110,0.28081,0.03532
YDL069C,230,0.11744,0.01799
YDL070W,639,0.06674,0.01014
YDL071C,125,0.23048,0.03574
YDL072C,204,0.14543,0.02387
YDL073W,985,0.02557,0.00431
YDL074C,701,0.04900,0.00781
YDL075W,114,0.22240,0.01771
YDL076C,295,0.08008,0.01343
YDL077C,1050,0.06021,0.00950
YDL078C,344,0.10523,0.01496
YDL079C,502,0.07983,0.01312
YDL080C,610,0.02997,0.00538
YDL081C,107,0.25511,0.01905
YDL082W,200,0.18523,0.01572
YDL083C,144,0.17709,0.01402
YDL084W,447,0.11150,0.01223
YDL085W,546,0.27727,0.02985
YDL086W,274,0.10710,0.01617
YDL087C,262,0.10141,0.01791
YDL088C,529,0.07467,0.01099
YDL089W,485,0.03990,0.00652
YDL090C,432,0.06864,0.01064
YDL091C,456,0.05823,0.00956
YDL092W,147,0.10175,0.01512
YDL093W,744,0.11808,0.01778
YDL094C,170,0.22503,0.03160
YDL095W,818,0.13041,0.01646
YDL097C,435,0.08455,0.01347
YDL098C,195,0.09969,0.01553
YDL099W,342,0.11916,0.01624
YDL100C,355,0.13268,0.01579
YDL101C,514,0.07226,0.01114
YDL102W,1098,0.09222,0.01237
YDL103C,478,0.12155,0.01629
YDL104C,408,0.06847,0.01111
YDL105W,403,0.09440,0.01496
YDL106C,560,0.08058,0.01204
YDL107W,352,0.07897,0.01256
YDL108W,307,0.07656,0.01235
YDL109C,648,0.04387,0.00762
YDL110C,151,0.19955,0.02942
YDL111C,266,0.05781,0.00931
YDL112W,1437,0.04408,0.00729
YDL113C,641,0.05164,0.00837
YDL114W-A,38,0.07065,0.01246
YDL115C,354,0.15420,0.02240
YDL116W,727,0.08528,0.01402
YDL117W,886,0.05885,0.00947
YDL118W,127,0.09692,0.01666
YDL119C,308,0.06568,0.01131
YDL120W,175,0.06929,0.01154
YDL121C,150,0.18007,0.02420
YDL122W,810,0.05491,0.00851
YDL123W,141,0.07833,0.01432
YDL124W,313,0.14452,0.01845
YDL125C,159,0.18677,0.02175
YDL126C,836,0.12972,0.01450
YDL127W,309,0.10374,0.01727
YDL128W,412,0.15230,0.02369
YDL129W,292,0.04678,0.00903
YDL130W-A,87,0.12787,0.01886
YDL131W,441,0.18784,0.01945
YDL132W,816,0.13214,0.01819
YDL133W,438,0.03746,0.00652
YDL134C,370,0.06811,0.01154
YDL135C,203,0.12369,0.01598
YDL136W,121,0.21131,0.01668
